"gene","coef","hr","se_coef","z","pval","lower_95","upper_95","sig"
"CLSPN",0.0830529704547158,1.08659936468628,0.215225740064816,0.385887721560183,0.699579824456609,0.712637980591211,1.65679940094844,""
"CNTFR",-0.0398520795247771,0.960931570094531,0.105342359703871,-0.378310108457849,0.705200237011984,0.781672588735716,1.18129955650337,""
"ADIPOQ",0.0250938337921584,1.02541133424432,0.066606987565252,0.376744763716796,0.70636329316918,0.899916351320565,1.16840682231606,""
"CXCL9",-0.0360726500746976,0.964570214839385,0.0968039061041527,-0.372636307009001,0.709419146894005,0.79787381579822,1.16609378692857,""
"AURKA",-0.0868487491827588,0.916815754278866,0.234856412882386,-0.369795093593003,0.711535171260644,0.578591336380172,1.45275443035951,""
"CD79A",-0.0355176031007279,0.965105745226825,0.0966537353072799,-0.367472638153207,0.713266497963432,0.798551798820192,1.16639784776135,""
"MX1",-0.0587473535532441,0.942944970761788,0.163553497504594,-0.359193502123633,0.719450337279615,0.684335955993509,1.29928174911415,""
"ISG15",-0.0525732354083833,0.948784833866595,0.146530277337525,-0.358787524077931,0.719754046469288,0.711935969825411,1.26442924522555,""
"ARHGAP11A",0.0876546850931584,1.09161110734971,0.250318626497775,0.350172443495481,0.72620928604064,0.668338292657455,1.78295157225114,""
"IL32",-0.0512111490132631,0.950078041310895,0.146348202673731,-0.349926736903174,0.72639368089339,0.71316080184876,1.265700922206,""
"CDK1",0.0826613950534689,1.08617396239803,0.238928394304045,0.345967231288046,0.729367341419079,0.680022323505385,1.7349046285862,""
"FGFR4",0.0570733938802573,1.05873351210466,0.165390641339047,0.345082366318769,0.730032449783642,0.765606991735456,1.46408883637885,""
"UBE2C",-0.0582205149721183,0.943441881436627,0.18634797183172,-0.312429024044833,0.754714495533094,0.654780097742101,1.35936108430599,""
"CIDEC",-0.031339516737211,0.969146475762834,0.100326441994183,-0.312375442747467,0.754755211126399,0.796143582210437,1.17974309216407,""
"SAA2",-0.0336511208203699,0.966908780141878,0.110039592640881,-0.305809209328791,0.759749916157641,0.779326838667821,1.19964120665162,""
"LMNB1",-0.0778336555681728,0.925118302023343,0.268651630668855,-0.289719646869042,0.772030724633518,0.546412455143344,1.56629642073959,""
"LEP",-0.0292557631262612,0.971168043724538,0.101775905134728,-0.287452743235575,0.773765681092346,0.795541016655553,1.1855672421729,""
"CDC20",-0.0549288171648207,0.946552523847745,0.193861439214185,-0.283340603409703,0.776915754956569,0.647335704379367,1.38407579613045,""
"CD2",0.0422780902465788,1.04318453786295,0.149416193512209,0.282955208888549,0.777211172516573,0.778355228004482,1.39811995973395,""
"SKA3",0.0757666056590734,1.07871077978324,0.268307972024597,0.282386710642081,0.777647003897658,0.637559701913462,1.82511056286695,""
"ADAMTS4",0.0585830171242187,1.0603330078379,0.211408048848193,0.277108735657864,0.78169661430841,0.700634346747067,1.6046973613705,""
"GPAM",-0.0846238188154781,0.918857876439137,0.312990331031584,-0.270371990523052,0.78687408625257,0.497542850145583,1.69693886033574,""
"CEP55",-0.0547098089435054,0.946759849334539,0.202820480276295,-0.269744992561778,0.787356444035445,0.636207414352952,1.40890249325935,""
"FGF1",-0.0540938022024593,0.947343239451555,0.201086917357477,-0.26900706875075,0.787924243036974,0.638766109145295,1.40498877521135,""
"BUB1",-0.0534010672288212,0.947999724604423,0.199004390405552,-0.268341151268044,0.788436733193752,0.641823134173236,1.40023540754374,""
"BUB1B",0.0618473239736708,1.06379991558491,0.234498398192299,0.263743055178369,0.791977916549939,0.671822512992024,1.6844780258382,""
